Name,Affected Component,HSD URL,Jama URL,Jama ID,id,Artifact Type,HSD ID
Logging information to syslog,sw.tools_ipu_update,https://hsdes.intel.com/resource/18025697724,https://hsdes.intel.com/resource/18025697724,18025697724,377158,ND SW Requirement,18025697724
IPU Update - support for PLDM files,sw.tools_ipu_update,https://hsdes.intel.com/resource/18025808530,https://hsdes.intel.com/resource/18025808530,18025808530,377159,ND SW Requirement,18025808530
IPU Fuse Configuration Utility - Logging information to syslog,sw.tools_fuse_configuration,https://hsdes.intel.com/resource/18025933942,https://hsdes.intel.com/resource/18025933942,18025933942,377160,ND SW Requirement,18025933942
IPU Fuse Configuration Utility - exit codes and error handling,sw.tools_fuse_configuration,https://hsdes.intel.com/resource/18025933964,https://hsdes.intel.com/resource/18025933964,18025933964,377161,ND SW Requirement,18025933964
IPU Update tool - tool description,sw.ie_tools_docs-ipu,https://hsdes.intel.com/resource/18025976988,https://hsdes.intel.com/resource/18025976988,18025976988,377162,ND SW Requirement,18025976988
IPU Update - IMC rootfs Layout,sw.media_ipu_sdk,https://hsdes.intel.com/resource/18025979870,https://hsdes.intel.com/resource/18025979870,18025979870,377163,ND SW Requirement,18025979870
IPU Update - Help mode,sw.tools_ipu_update,https://hsdes.intel.com/resource/18026051887,https://hsdes.intel.com/resource/18026051887,18026051887,377164,ND SW Requirement,18026051887
IPU Update - Print version,sw.tools_ipu_update,https://hsdes.intel.com/resource/18026051912,https://hsdes.intel.com/resource/18026051912,18026051912,377165,ND SW Requirement,18026051912
IPU Fuse Configuration Utility - run tool as root,sw.tools_fuse_configuration,https://hsdes.intel.com/resource/18026068976,https://hsdes.intel.com/resource/18026068976,18026068976,377166,ND SW Requirement,18026068976
IPU Update - run tool as root,sw.tools_ipu_update,https://hsdes.intel.com/resource/18026423008,https://hsdes.intel.com/resource/18026423008,18026423008,377167,ND SW Requirement,18026423008
IPU Update - report reset type,sw.tools_ipu_update,https://hsdes.intel.com/resource/18026444356,https://hsdes.intel.com/resource/18026444356,18026444356,377168,ND SW Requirement,18026444356
IPU Fuse Configuration Utility - command line parameters,sw.tools_fuse_configuration,https://hsdes.intel.com/resource/18026539560,https://hsdes.intel.com/resource/18026539560,18026539560,377169,ND SW Requirement,18026539560
IPU Update - Support for signed images,sw.tools_ipu_update,https://hsdes.intel.com/resource/18027751720,https://hsdes.intel.com/resource/18027751720,18027751720,,ND SW Requirement,18027751720
IDPF - Basic Adaptive Physical Functions UEFI Support,sw.pre-boot_efi_idpf_base,https://hsdes.intel.com/resource/22011673312,https://hsdes.intel.com/resource/22011673312,22011673312,377170,ND SW Requirement,22011673312
Add UEFI UNDI IDPF driver to CD layout,sw.media_cd_layout,https://hsdes.intel.com/resource/22011673317,https://hsdes.intel.com/resource/22011673317,22011673317,377171,ND SW Requirement,22011673317
UEFI spec 2.7 compliance - Driver Supported EFI Version Protocol,sw.pre-boot_efi_idpf_base,https://hsdes.intel.com/resource/22011673320,https://hsdes.intel.com/resource/22011673320,22011673320,377172,ND SW Requirement,22011673320
DMA operation compliance with UEFI specification,sw.pre-boot_efi_idpf_base,https://hsdes.intel.com/resource/22011673321,https://hsdes.intel.com/resource/22011673321,22011673321,377173,ND SW Requirement,22011673321
"Add ""Network Media Type"" to Adapter Information Protocol",sw.pre-boot_efi_idpf_base,https://hsdes.intel.com/resource/22011673325,https://hsdes.intel.com/resource/22011673325,22011673325,377174,ND SW Requirement,22011673325
Power State Coordination Interface (PSCI) functions - ACC CPU functions,sw.smartnic_acc_atf,https://hsdes.intel.com/resource/22013849659,https://hsdes.intel.com/resource/22013849659,22013849659,377175,ND SW Requirement,22013849659
ACC ATF Documentation,sw.ie_other_readmes-ipu,https://hsdes.intel.com/resource/22013849948,https://hsdes.intel.com/resource/22013849948,22013849948,377176,ND SW Requirement,22013849948
ISET - Command Line Interface,sw.tools_ipu_system_and_ethernet_toolkit,https://hsdes.intel.com/resource/22013891210,https://hsdes.intel.com/resource/22013891210,22013891210,377177,ND SW Requirement,22013891210
License File,sw.smartnic_acc_atf,https://hsdes.intel.com/resource/22014369647,https://hsdes.intel.com/resource/22014369647,22014369647,377178,ND SW Requirement,22014369647
Secure Monitor Call Calling Convention,sw.smartnic_acc_atf,https://hsdes.intel.com/resource/22014531962,https://hsdes.intel.com/resource/22014531962,22014531962,377179,ND SW Requirement,22014531962
